"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,2,4,453,500,-7,641,648,-7,"US",1117,"N557UW","EWR","CLT",82,529,5,0,2013-02-04 05:00:00
"2",2013,2,4,522,530,-8,806,829,-23,"UA",650,"N445UA","LGA","IAH",209,1416,5,30,2013-02-04 05:00:00
"3",2013,2,4,528,525,3,822,820,2,"UA",1497,"N14704","EWR","IAH",213,1400,5,25,2013-02-04 05:00:00
"4",2013,2,4,534,540,-6,825,850,-25,"AA",1141,"N640AA","JFK","MIA",150,1089,5,40,2013-02-04 05:00:00
"5",2013,2,4,534,540,-6,1010,1016,-6,"B6",725,"N563JB","JFK","BQN",186,1576,5,40,2013-02-04 05:00:00
"6",2013,2,4,550,600,-10,917,911,6,"B6",135,"N598JB","JFK","RSW",170,1074,6,0,2013-02-04 06:00:00
"7",2013,2,4,551,600,-9,829,834,-5,"DL",2083,"N370NW","LGA","MSY",188,1183,6,0,2013-02-04 06:00:00
"8",2013,2,4,552,600,-8,711,715,-4,"EV",5716,"N836AS","JFK","IAD",51,228,6,0,2013-02-04 06:00:00
"9",2013,2,4,553,600,-7,648,708,-20,"B6",380,"N346JB","EWR","BOS",42,200,6,0,2013-02-04 06:00:00
"10",2013,2,4,553,600,-7,920,925,-5,"UA",303,"N557UA","JFK","SFO",357,2586,6,0,2013-02-04 06:00:00
"11",2013,2,4,553,600,-7,700,659,1,"US",2161,"N756US","LGA","DCA",45,214,6,0,2013-02-04 06:00:00
"12",2013,2,4,554,600,-6,816,815,1,"FL",345,"N978AT","LGA","ATL",121,762,6,0,2013-02-04 06:00:00
"13",2013,2,4,554,600,-6,852,905,-13,"B6",125,"N559JB","JFK","FLL",151,1069,6,0,2013-02-04 06:00:00
"14",2013,2,4,554,600,-6,740,658,42,"US",1833,"N946UW","JFK","PHL",29,94,6,0,2013-02-04 06:00:00
"15",2013,2,4,554,600,-6,646,703,-17,"US",2114,"N715UW","LGA","BOS",35,184,6,0,2013-02-04 06:00:00
"16",2013,2,4,555,601,-6,716,725,-9,"EV",4708,"N15980","EWR","MKE",124,725,6,1,2013-02-04 06:00:00
"17",2013,2,4,555,600,-5,902,858,4,"B6",507,"N599JB","EWR","FLL",151,1065,6,0,2013-02-04 06:00:00
"18",2013,2,4,556,600,-4,703,716,-13,"EV",4201,"N11140","EWR","IAD",46,212,6,0,2013-02-04 06:00:00
"19",2013,2,4,556,600,-4,753,800,-7,"EV",4911,"N709EV","EWR","DTW",90,488,6,0,2013-02-04 06:00:00
"20",2013,2,4,556,600,-4,731,745,-14,"AA",301,"N3DTAA","LGA","ORD",136,733,6,0,2013-02-04 06:00:00
"21",2013,2,4,558,600,-2,816,837,-21,"DL",461,"N3760C","LGA","ATL",116,762,6,0,2013-02-04 06:00:00
"22",2013,2,4,558,601,-3,920,918,2,"UA",1030,"N14118","JFK","LAX",336,2475,6,1,2013-02-04 06:00:00
"23",2013,2,4,600,610,-10,814,818,-4,"EV",4941,"N758EV","EWR","MSP",165,1008,6,10,2013-02-04 06:00:00
"24",2013,2,4,600,600,0,905,910,-5,"AA",707,"N3GAAA","LGA","DFW",224,1389,6,0,2013-02-04 06:00:00
"25",2013,2,4,601,605,-4,812,805,7,"MQ",4401,"N711MQ","LGA","DTW",96,502,6,5,2013-02-04 06:00:00
"26",2013,2,4,601,600,1,823,825,-2,"MQ",4650,"N501MQ","LGA","ATL",116,762,6,0,2013-02-04 06:00:00
"27",2013,2,4,602,610,-8,847,901,-14,"B6",145,"N508JB","JFK","PBI",144,1028,6,10,2013-02-04 06:00:00
"28",2013,2,4,602,610,-8,810,817,-7,"DL",1919,"N343NW","LGA","MSP",157,1020,6,10,2013-02-04 06:00:00
"29",2013,2,4,604,600,4,856,903,-7,"B6",371,"N766JB","LGA","FLL",148,1076,6,0,2013-02-04 06:00:00
"30",2013,2,4,604,608,-4,742,755,-13,"UA",963,"N826UA","EWR","CLE",77,404,6,8,2013-02-04 06:00:00
"31",2013,2,4,606,610,-4,1038,1050,-12,"B6",709,"N634JB","JFK","SJU",190,1598,6,10,2013-02-04 06:00:00
"32",2013,2,4,609,610,-1,908,915,-7,"AA",1837,"N3BAAA","LGA","MIA",155,1096,6,10,2013-02-04 06:00:00
"33",2013,2,4,612,607,5,835,819,16,"EV",4559,"N36915","EWR","CVG",113,569,6,7,2013-02-04 06:00:00
