"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,848,1835,853,1001,1950,851,"MQ",3944,"N942MQ","JFK","BWI",41,184,18,35,2013-01-01 18:00:00
"2",2013,1,1,957,733,144,1056,853,123,"UA",856,"N534UA","EWR","BOS",37,200,7,33,2013-01-01 07:00:00
"3",2013,1,1,1114,900,134,1447,1222,145,"UA",1086,"N76502","LGA","IAH",248,1416,9,0,2013-01-01 09:00:00
"4",2013,1,1,1815,1325,290,2120,1542,338,"EV",4417,"N17185","EWR","OMA",213,1134,13,25,2013-01-01 13:00:00
"5",2013,1,1,1842,1422,260,1958,1535,263,"EV",4633,"N18120","EWR","BTV",46,266,14,22,2013-01-01 14:00:00
"6",2013,1,1,1856,1645,131,2212,2005,127,"AA",181,"N323AA","JFK","LAX",336,2475,16,45,2013-01-01 16:00:00
"7",2013,1,1,1934,1725,129,2126,1855,151,"MQ",4255,"N909MQ","JFK","BNA",154,765,17,25,2013-01-01 17:00:00
"8",2013,1,1,1938,1703,155,2109,1823,166,"EV",4300,"N18557","EWR","RIC",68,277,17,3,2013-01-01 17:00:00
"9",2013,1,1,1942,1705,157,2124,1830,174,"MQ",4410,"N835MQ","JFK","DCA",60,213,17,5,2013-01-01 17:00:00
"10",2013,1,1,2006,1630,216,2230,1848,222,"EV",4644,"N14972","EWR","SAV",121,708,16,30,2013-01-01 16:00:00
"11",2013,1,1,2009,1808,121,2145,1942,123,"EV",4440,"N14143","EWR","PIT",65,319,18,8,2013-01-01 18:00:00
"12",2013,1,1,2115,1700,255,2330,1920,250,"9E",3347,"N924XJ","JFK","CVG",115,589,17,0,2013-01-01 17:00:00
"13",2013,1,1,2205,1720,285,46,2040,246,"AA",1999,"N5DNAA","EWR","MIA",146,1085,17,20,2013-01-01 17:00:00
"14",2013,1,1,2221,2000,141,2331,2124,127,"EV",4462,"N13566","EWR","BUF",56,282,20,0,2013-01-01 20:00:00
"15",2013,1,1,2312,2000,192,21,2110,191,"EV",4312,"N13958","EWR","DCA",44,199,20,0,2013-01-01 20:00:00
"16",2013,1,1,2343,1724,379,314,1938,456,"EV",4321,"N21197","EWR","MCI",222,1092,17,24,2013-01-01 17:00:00
"17",2013,1,2,126,2250,156,233,2359,154,"B6",22,"N636JB","JFK","SYR",49,209,22,50,2013-01-02 22:00:00
"18",2013,1,2,833,558,155,1018,727,171,"UA",651,"N448UA","EWR","ORD",129,719,5,58,2013-01-02 05:00:00
"19",2013,1,2,923,624,179,1051,758,173,"EV",4104,"N13975","EWR","PIT",61,319,6,24,2013-01-02 06:00:00
"20",2013,1,2,1244,900,224,1431,1104,207,"EV",4412,"N13958","EWR","MYR",94,550,9,0,2013-01-02 09:00:00
"21",2013,1,2,1332,904,268,1616,1128,288,"EV",4364,"N41104","EWR","MCI",203,1092,9,4,2013-01-02 09:00:00
"22",2013,1,2,1412,838,334,1710,1147,323,"UA",468,"N474UA","EWR","MCO",150,937,8,38,2013-01-02 08:00:00
"23",2013,1,2,1451,1232,139,1749,1533,136,"UA",1121,"N33284","EWR","FLL",158,1065,12,32,2013-01-02 12:00:00
"24",2013,1,2,1548,1340,128,1710,1500,130,"EV",4617,"N10575","EWR","PIT",63,319,13,40,2013-01-02 13:00:00
